,RL,Frecuencia total,Frecuencia Nodo 1,Frecuencia Nodo 2,Frecuencia Nodo 3,Frecuencia Nodo 4,Frecuencia Nodo Salida
21,211.9314,8575.415002063752,47059.513976734466,67816.2080781892,1006391.6155195255,45920.430849163495,17287.11316871138
22,221.8648,8565.078516444846,46986.39875771634,68011.51641597816,1000502.0284503092,45854.70219971723,17253.42617815021
23,231.7982,8555.582048869912,46919.505298927535,68191.6748638778,994763.3767045605,45794.554629525206,17222.61587153875
24,241.7316,8546.823035906124,46858.07206129986,68358.35772974044,989169.7595608416,45739.30663198143,17194.323866240735
25,251.665,8538.717203685286,46801.45644992549,68513.05264499909,983715.979405326,45688.36500600536,17168.25704414586
26,261.5984,8531.19109728891,46749.11336411361,68656.98323717178,978396.6788079402,45641.264587748534,17144.1578255551
27,271.5318,8524.180705324665,46700.5769919177,68791.21871217008,973207.0365817605,45597.566155349086,17121.806898518764
28,281.4652,8517.635760880235,46655.44607624009,68916.74589869914,968142.2741531889,45556.92426339076,17101.027584979023
29,291.3986,8511.508522661694,46613.3747117256,69034.36548316262,963198.1302763749,45519.03613276812,17081.65445453788
30,301.332,8505.759259445676,46574.061759378026,69144.81202642045,958370.1698158471,45483.62539867415,17063.55129133131
31,311.2654,8500.352550221565,46537.24457630411,69248.72302008966,953654.4080251622,45450.45426232708,17046.596516743008
32,321.1988,8495.256375565483,46502.6929641395,69346.64546664455,949046.9683795577,45419.31868109562,17030.68031210978
33,331.1322,8490.443370427894,46470.2039823043,69439.08010494475,944544.0371366041,45390.031407750226,17015.709746280212
34,341.0656,8485.891470456818,46439.598143094474,69526.50441748003,940142.3299980854,45362.444667572025,17001.606908276353
35,350.999,8481.578320077484,46410.71642419131,69609.30417894405,935838.4648543403,45336.4137466464,16988.296068131756
36,360.9324,8477.483462109858,46383.41712541181,69687.82095492413,931628.9170908949,45311.79756159705,16975.70979775087
37,370.8658,8473.59062035286,46357.573691743135,69762.3921633692,927510.9662306496,45288.48645861754,16963.79168369586
38,380.7992,8469.884461750567,46333.07270330854,69833.29817393044,923481.5228202885,45266.39666559644,16952.4878072904
39,390.7326,8466.350933915257,46309.812113515894,69900.8085003154,919537.6456354867,45245.412365092576,16941.753458959527
40,400.666,8462.977410050293,46287.70011248025,69965.15831852282,915676.7495249748,45225.45759026063,16931.545024333478
41,410.5994,8459.753509688428,46266.65360380953,70026.57607610455,911896.2416194411,45206.461178499725,16921.82682230453
42,420.5328,8456.669402124016,46246.59744511466,70085.25523594207,908193.763833245,45188.376418443884,16912.563178452972
43,430.4662,8453.712529395254,46227.46339237293,70141.3430926936,904566.5854568465,45171.097719963254,16903.717939793863
44,440.3996,8450.879445531238,46209.189084769605,70195.06628442944,901012.7447716398,45154.613307450614,16895.272837378514
45,450.333,8448.158562498587,46191.718023471934,70246.52719751431,897529.9043552895,45138.84214618617,16887.193531578727
46,460.2664,8445.54253480285,46174.99840675689,70295.85993956907,894115.9774297574,45123.737537320834,16879.455466261494
47,470.1998,8443.027818505874,46158.982656359025,70343.23254614483,890769.1044646499,45109.275817540394,16872.043620013097
48,480.1332,8440.606610645136,46143.62727786396,70388.72980697661,887487.0115558201,45095.4111687285,16864.93361327006
49,490.0666,8438.27331344202,46128.89225781683,70432.46101806099,884267.8761848501,45082.10831525491,16858.106492949348
50,500.0,8436.023866293068,46114.74075356268,70474.54494936844,881110.1906346917,45069.33143362534,16851.5485597771
